id,begin_idx,end_idx,notes
sub2_m2stiff_f_n_3,70,75,no movement
sub2_m2stiff_f_n_4,40,45,no movement
sub2_m2stiff_f_n_5,52,57,no movement
sub2_m2stiff_g_n_1,49,70,slight jiggle
sub2_m2stiff_g_n_2,42,50,slight jiggle
sub2_m2stiff_g_n_3,46,75,slight jiggle
sub2_m2stiff_g_n_4,23,33,no movement
sub2_m2stiff_g_n_5,56,61,no movement
sub2_m2stiff_h_n_1,50,70,slight jiggle
sub2_m2stiff_h_n_2,49,54,no movement
sub2_m2stiff_h_n_3,52,73,slight jiggle
sub2_m2stiff_h_n_4,40,65,slight jiggle
sub2_m2stiff_h_n_5,77,82,no movement
sub2_m2active_a_n_1,45,195,
sub2_m2active_a_n_2,41,101,wobble
sub2_m2active_a_n_3,22,102,wobble
sub2_m2active_a_n_4,27,81,wobble
sub2_m2active_a_n_5,30,113,slight wobble
sub2_m2active_b_n_1,54,151,
sub2_m2active_b_n_2,64,130,slight wobble
sub2_m2active_b_n_3,21,94,wobble
sub2_m2active_b_n_4,29,103,
sub2_m2active_b_n_5,30,108,slight wobble
sub2_m2active_c_n_1,61,170,wobble
sub2_m2active_c_n_2,46,302,
sub2_m2active_c_n_3,38,160,wobble
sub2_m2active_c_n_4,29,106,wobble
sub2_m2active_c_n_5,41,135,wobble
sub2_m2active_d_n_1,65,185,wobble
sub2_m2active_d_n_2,30,192,wobble
sub2_m2active_d_n_3,25,140,
sub2_m2active_d_n_4,20,130,
sub2_m2active_d_n_5,50,139,
sub2_m2active_e_n_1,40,182,
sub2_m2active_e_n_2,44,214,wobble
sub2_m2active_e_n_3,38,218,
sub2_m2active_e_n_4,40,112,
sub2_m2active_e_n_5,34,147,wobble
sub2_m2active_f_n_1,39,165,wobble
sub2_m2active_f_n_2,31,182,wobble
sub2_m2active_f_n_3,41,142,
sub2_m2active_f_n_4,17,160,
sub2_m2active_f_n_5,27,132,wobble
sub2_m2active_g_n_1,47,182,slight wobble
sub2_m2active_g_n_2,35,197,
sub2_m2active_g_n_3,24,130,slight wobble
sub2_m2active_g_n_4,19,124,slight wobble
sub2_m2active_g_n_5,33,89,
sub2_m2active_h_n_1,45,166,slight wobble
sub2_m2active_h_n_2,29,120,wobble
sub2_m2active_h_n_3,77,136,wobble
sub2_m2active_h_n_4,33,196,wobble
sub2_m2active_h_n_5,62,139,wobble
sub2_m2active_n_cw_1,,,
sub2_m2active_n_cw_2,,,
sub2_m2active_n_cw_3,,,
sub2_m2active_n_cw_4,,,
sub2_m2active_n_cw_5,,,
sub2_m2active_n_ccw_1,,,
sub2_m2active_n_ccw_2,,,
sub2_m2active_n_ccw_3,,,
sub2_m2active_n_ccw_4,,,
sub2_m2active_n_ccw_5,,,
sub2_2v2_a_n_1,29,168,
sub2_2v2_a_n_2,20,150,tilt and wobble
sub2_2v2_a_n_3,31,181,wobble
sub2_2v2_a_n_4,23,126,
sub2_2v2_a_n_5,23,169,tilt
sub2_2v2_b_n_1,28,122,
sub2_2v2_b_n_2,49,105,
sub2_2v2_b_n_3,33,151,
sub2_2v2_b_n_4,31,92,wobble
sub2_2v2_b_n_5,41,138,wobble
sub2_2v2_c_n_1,39,128,wobble
sub2_2v2_c_n_2,29,149,slight wobble
sub2_2v2_c_n_3,28,80,
sub2_2v2_c_n_4,36,97,
sub2_2v2_c_n_5,23,104,
sub2_2v2_d_n_1,33,154,
sub2_2v2_d_n_2,24,136,
sub2_2v2_d_n_3,39,185,
sub2_2v2_d_n_4,32,186,wiggly movement
sub2_2v2_d_n_5,28,156,
sub2_2v2_e_n_1,27,129,
sub2_2v2_e_n_2,29,172,
sub2_2v2_e_n_3,31,205,
sub2_2v2_e_n_4,25,134,
sub2_2v2_e_n_5,29,178,
sub2_2v2_f_n_1,39,259,
sub2_2v2_f_n_2,42,156,
sub2_2v2_f_n_3,29,119,
sub2_2v2_f_n_4,39,158,
sub2_2v2_f_n_5,25,255,
sub2_2v2_g_n_1,38,157,wobble
sub2_2v2_g_n_2,30,108,
sub2_2v2_g_n_3,26,107,
sub2_2v2_g_n_4,11,100,
sub2_2v2_g_n_5,29,106,slight wobble
sub2_2v2_h_n_1,48,124,
sub2_2v2_h_n_2,16,137,
sub2_2v2_h_n_3,59,116,
sub2_2v2_h_n_4,35,133,
sub2_2v2_h_n_5,22,84,
sub2_2v2_n_cw_1,,,
sub2_2v2_n_cw_2,,,
sub2_2v2_n_cw_3,,,
sub2_2v2_n_cw_4,,,
sub2_2v2_n_cw_5,,,
sub2_2v2_n_ccw_1,,,
sub2_2v2_n_ccw_2,,,
sub2_2v2_n_ccw_3,,,
sub2_2v2_n_ccw_4,,,
sub2_2v2_n_ccw_5,,,
sub2_3v3_a_n_1,13,108,
sub2_3v3_a_n_2,21,123,
sub2_3v3_a_n_3,26,182,
sub2_3v3_a_n_4,39,215,
sub2_3v3_a_n_5,24,135,
sub2_3v3_b_n_1,29,104,
sub2_3v3_b_n_2,23,80,
sub2_3v3_b_n_3,23,124,wobble
sub2_3v3_b_n_4,24,105,
sub2_3v3_b_n_5,33,127,
sub2_3v3_c_n_1,11,81,
sub2_3v3_c_n_2,27,125,
sub2_3v3_c_n_3,20,128,wobble
sub2_3v3_c_n_4,25,102,
sub2_3v3_c_n_5,35,130,
sub2_3v3_d_n_1,32,124,
sub2_3v3_d_n_2,28,103,
sub2_3v3_d_n_3,48,126,
sub2_3v3_d_n_4,38,112,
sub2_3v3_d_n_5,26,127,
sub2_3v3_e_n_1,42,171,
sub2_3v3_e_n_2,40,119,
sub2_3v3_e_n_3,26,111,
sub2_3v3_e_n_4,25,98,
sub2_3v3_e_n_5,26,114,
sub2_3v3_f_n_1,29,130,wobble
sub2_3v3_f_n_2,17,88,
sub2_3v3_f_n_3,34,143,
sub2_3v3_f_n_4,55,241,
sub2_3v3_f_n_5,40,130,
sub2_3v3_g_n_1,30,102,
sub2_3v3_g_n_2,26,137,
sub2_3v3_g_n_3,46,157,
sub2_3v3_g_n_4,34,105,
sub2_3v3_g_n_5,26,118,
sub2_3v3_h_n_1,27,85,
sub2_3v3_h_n_2,0,100,
sub2_3v3_h_n_3,28,101,wobble
sub2_3v3_h_n_4,20,108,slight wobble
sub2_3v3_h_n_5,23,140,
sub2_3v3_n_cw_1,,,
sub2_3v3_n_cw_2,,,
sub2_3v3_n_cw_3,,,
sub2_3v3_n_cw_4,,,
sub2_3v3_n_cw_5,,,
sub2_3v3_n_ccw_1,,,
sub2_3v3_n_ccw_2,,,
sub2_3v3_n_ccw_3,,,
sub2_3v3_n_ccw_4,,,
sub2_3v3_n_ccw_5,,,
sub2_2v3_a_n_1,34,154,
sub2_2v3_a_n_2,32,155,
sub2_2v3_a_n_3,42,170,
sub2_2v3_a_n_4,39,163,slight wobble
sub2_2v3_a_n_5,35,111,
sub2_2v3_b_n_1,25,106,wobble
sub2_2v3_b_n_2,23,94,slight wobble
sub2_2v3_b_n_3,27,162,slight wobble
sub2_2v3_b_n_4,21,82,
sub2_2v3_b_n_5,23,112,slight wobble
sub2_2v3_c_n_1,26,132,wobble
sub2_2v3_c_n_2,22,96,
sub2_2v3_c_n_3,21,127,
sub2_2v3_c_n_4,20,105,wobble
sub2_2v3_c_n_5,29,93,wobble
sub2_2v3_d_n_1,30,189,
sub2_2v3_d_n_2,47,132,
sub2_2v3_d_n_3,63,168,
sub2_2v3_d_n_4,29,114,
sub2_2v3_d_n_5,33,131,
sub2_2v3_e_n_1,60,182,
sub2_2v3_e_n_2,20,115,
sub2_2v3_e_n_3,19,140,
sub2_2v3_e_n_4,36,144,wobble
sub2_2v3_e_n_5,21,119,wobble
sub2_2v3_f_n_1,29,132,wobble
sub2_2v3_f_n_2,29,137,
sub2_2v3_f_n_3,9,76,wobble
sub2_2v3_f_n_4,19,128,wobble
sub2_2v3_f_n_5,26,176,
sub2_2v3_g_n_1,32,96,
sub2_2v3_g_n_2,19,177,wobble
sub2_2v3_g_n_3,16,143,wobble
sub2_2v3_g_n_4,31,168,wobble
sub2_2v3_g_n_5,15,86,wobble
sub2_2v3_h_n_1,27,108,
sub2_2v3_h_n_2,19,151,
sub2_2v3_h_n_3,19,160,wobble
sub2_2v3_h_n_4,24,123,wobble
sub2_2v3_h_n_5,24,215,
sub2_2v3_n_cw_1,,,
sub2_2v3_n_cw_2,,,
sub2_2v3_n_cw_3,,,
sub2_2v3_n_cw_4,,,
sub2_2v3_n_cw_5,,,
sub2_2v3_n_ccw_1,,,
sub2_2v3_n_ccw_2,,,
sub2_2v3_n_ccw_3,,,
sub2_2v3_n_ccw_4,,,
sub2_2v3_n_ccw_5,,,
sub2_barrett_a_n_1,35,202,wobble
sub2_barrett_a_n_2,25,79,wobble
sub2_barrett_a_n_3,35,161,wobble
sub2_barrett_a_n_4,25,132,wobble
sub2_barrett_a_n_5,27,99,wobble
sub2_barrett_b_n_1,38,102,wobble
sub2_barrett_b_n_2,32,81,tilt and wobble
sub2_barrett_b_n_3,41,95,wobble
sub2_barrett_b_n_4,26,89,wobble
sub2_barrett_b_n_5,30,82,wobble
sub2_barrett_c_n_1,32,96,wobble
